sending_region,receiving_region,milliseconds
europe-west6,us-east5,97
asia-southeast1,asia-east2,36
europe-southwest1,us-west4,154
asia-east1,europe-central2,263
us-west4,southamerica-west1,111
southamerica-west1,us-west3,118
us-east4,australia-southeast2,204
southamerica-east1,us-west3,157
us-west1,asia-south2,228
northamerica-northeast1,europe-west4,85
asia-south1,us-east4,209
southamerica-west1,asia-southeast1,273
southamerica-east1,europe-west4,199
asia-south1,northamerica-northeast1,216
australia-southeast1,asia-southeast1,93
europe-west3,us-west3,128
us-east5,europe-west3,91
northamerica-northeast1,southamerica-east1,127
europe-west9,australia-southeast1,270
asia-southeast2,europe-west2,213
asia-southeast1,australia-southeast2,84
us-west1,us-west3,31
asia-east1,asia-south1,104
europe-west2,europe-central2,27
asia-southeast2,australia-southeast2,97
us-west1,asia-southeast2,171
northamerica-northeast1,us-east1,25
us-east1,asia-south1,220
asia-northeast1,europe-central2,246
europe-west8,us-west2,159
southamerica-west1,asia-northeast2,212
australia-southeast1,us-east4,192
us-central1,europe-west6,114
asia-south2,europe-west2,163
europe-west9,asia-east2,226
europe-west8,us-south1,125
europe-west2,europe-west1,6
us-west4,asia-south1,230
asia-northeast3,asia-south2,142
asia-northeast1,asia-southeast2,82
us-central1,asia-southeast1,199
asia-northeast3,us-east1,186
us-west1,southamerica-west1,129
europe-west8,us-west1,149
southamerica-west1,europe-west6,213
europe-west3,europe-west2,13
us-west3,southamerica-east1,157
asia-south1,europe-west2,140
northamerica-northeast1,europe-west8,96
europe-west2,asia-east2,231
europe-west3,southamerica-west1,208
europe-west4,us-east5,88
europe-west9,southamerica-east1,191
us-east5,europe-southwest1,105
us-central1,us-south1,16
us-east5,asia-southeast2,227
europe-west8,southamerica-east1,208
asia-south1,us-west2,224
europe-west2,us-east4,76
europe-west4,us-east4,87
asia-southeast2,us-central1,212
europe-north1,southamerica-east1,216
australia-southeast2,northamerica-northeast1,209
asia-south1,asia-southeast1,60
us-east1,us-west1,64
us-west1,us-east1,64
europe-west2,europe-west8,21
us-south1,us-east1,27
australia-southeast1,asia-northeast1,121
asia-south2,southamerica-west1,343
asia-northeast2,asia-southeast2,92
asia-south2,europe-southwest1,157
us-east4,asia-northeast3,172
us-east5,asia-northeast1,140
